Orden de Trabajo,Cuenta de Cliente,Centro,Almacén,Cantidad,Número de Empleado,Orden de Servicio,Fecha de Ingreso,Descripcion de Material ,Categoria de Material,Tipo de Servicio,Empresa,Causa del Soporte,Costo Unitario,Costo Total,Geocerca
31120353,0104481735,RE29,0659,1,RCEE3CMXT4843,OS-59254541,46020,VIDEO SOUNDBOX VSB3940 TPL,VSB,Cambio De Plan,RCE 3,NA,939.12,939.12,COA_3
31120353,0104481735,RE29,0659,1,RCEE3CMXT4843,OS-59254541,46020,SPEAKERS VSB TOTALPLAY TV SURROUND,Speakers,Cambio De Plan,RCE 3,NA,#N/D,#N/D,COA_3
31120353,0104481735,RE29,0659,10,RCEE3CMXT4843,OS-59254541,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Cambio De Plan,RCE 3,NA,9.07,90.7,COA_3
31251447,0107473739,RE29,0819,1,RCEE3CMXT5244,OS-59372739,46020,VIDEO SOUNDBOX VSB3940 TPL,VSB,Cambio De Plan,RCE 3,NA,939.12,939.12,COA_1
31282935,0115869003,RE29,0585,1,RCEE3CMXT4894,OS-59400226,46020,Drop 120m,Fibra Preconectorizada,Addons,RCE 3,NA,409.96,409.96,COA_7
31282935,0115869003,RE29,0585,1,RCEE3CMXT4894,OS-59400226,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Addons,RCE 3,NA,1.47,1.47,COA_7
31282935,0115869003,RE29,0585,1,RCEE3CMXT4894,OS-59400226,46020,FORMATOS UNIVERSALES DE SOPORTE,Miselaneo,Addons,RCE 3,NA,1.84,1.84,COA_7
31282935,0115869003,RE29,0585,10,RCEE3CMXT4894,OS-59400226,46020,TENSOR PARA ACOMETIDA,Miselaneo,Addons,RCE 3,NA,5.97,59.7,COA_7
31282935,0115869003,RE29,0585,2,RCEE3CMXT4894,OS-59400226,46020,CONECTOR PREPULIDO 250UM,Conector  SC,Addons,RCE 3,NA,19.13,38.26,COA_7
31282935,0115869003,RE29,0585,10,RCEE3CMXT4894,OS-59400226,46020,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Addons,RCE 3,NA,7.67,76.7,COA_7
