Distrito,Cluster,OLT,F,S,P,Cuenta,Código QR,Capacidad,Latitud,Longitud,NOMBRE_SPLITTER,Ubicacion
COACALCO,COACALCO,COACALCO_DF,0,1,0,0100175174,TP579861,1:8,19.634185104916586,-99.11346931010485,1/8,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0100164485,TP579861,1:8,19.634185104916586,-99.11346931010485,1/8,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0100165588,TP579861,1:8,19.634185104916586,-99.11346931010485,1/8,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0108419483,TP579861,1:8,19.634185104916586,-99.11346931010485,1/8,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0104085193,TP579861,1:8,19.634185104916586,-99.11346931010485,1/8,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0142107857,TP579861,1:8,19.634185104916586,-99.11346931010485,1/8,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0117386989,TP579861,1:8,19.634185104916586,-99.11346931010485,1/8,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0100168924,TP579862,1:16,19.63421257796686,-99.11314073950052,1/16,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0100164447,TP579862,1:16,19.63421257796686,-99.11314073950052,1/16,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0100164568,TP579862,1:16,19.63421257796686,-99.11314073950052,1/16,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0142547808,TP579862,1:16,19.63421257796686,-99.11314073950052,1/16,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0100165161,TP579862,1:16,19.63421257796686,-99.11314073950052,1/16,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0127280198,TP579862,1:16,19.63421257796686,-99.11314073950052,1/16,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,0,0101665004,TP579870,1:16,19.63386111203812,-99.1128570958972,1/16,Edificio
COACALCO,COACALCO,COACALCO_DF,0,1,0,0103058925,TP579870,1:16,19.63386111203812,-99.1128570958972,1/16,Edificio
COACALCO,COACALCO,COACALCO_DF,0,1,1,0113922039,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0120979726,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0142878967,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0106195966,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0106114063,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104185239,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0112254472,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0109673459,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0142254756,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0142775449,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0103737056,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0102587490,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0130859046,TP537747,1:16,19.62522642946496,-99.09425362944602,TP537747,Poste
